"paraula","url","origen","autor","nota"
"0","https://www.youtube.com/embed/fnbDGumgny8","youtube","generalitat",""
"1","https://www.youtube.com/embed/M2NObz3jCGM","youtube","generalitat",""
"10","https://www.youtube.com/embed/WO9MMPbthSQ","youtube","generalitat",""
"100","https://www.youtube.com/embed/tE6SwgBXz88","youtube","generalitat",""
"1000","https://www.youtube.com/embed/LqaR9NO8hmk","youtube","generalitat",""
"1.000","https://www.youtube.com/embed/LqaR9NO8hmk","youtube","generalitat",""
"1000000","https://www.youtube.com/embed/B_ppnwZVINU","youtube","generalitat",""
"1.000.000","https://www.youtube.com/embed/B_ppnwZVINU","youtube","generalitat",""
"11","https://www.youtube.com/embed/8Fz8Mpfqz0o","youtube","generalitat",""
"12","https://www.youtube.com/embed/J8IMqbsP36Y","youtube","generalitat",""
"13","https://www.youtube.com/embed/5MtpLQMzQco","youtube","generalitat",""
"14","https://www.youtube.com/embed/G3LCikifhug","youtube","generalitat",""
"15","https://www.youtube.com/embed/eJWTfvBks9M","youtube","generalitat",""
"16","https://www.youtube.com/embed/BdjQgvj2fx0","youtube","generalitat",""
"17","https://www.youtube.com/embed/AMQl47VoaLo","youtube","generalitat",""
"18","https://www.youtube.com/embed/MXmzW-t7Z0Y","youtube","generalitat",""
"19","https://www.youtube.com/embed/cFGBuHpHn9M","youtube","generalitat",""
"2","https://www.youtube.com/embed/1btxS7sZ7R4","youtube","generalitat",""
"20","https://www.youtube.com/embed/9jw0gn4wvTQ","youtube","generalitat",""
"3","https://www.youtube.com/embed/pOQ9T0pTC6I","youtube","generalitat",""
"4","https://www.youtube.com/embed/4eT85kkbZXw","youtube","generalitat",""
"5","https://www.youtube.com/embed/_uauzA6M5LQ","youtube","generalitat",""
"50","https://www.youtube.com/embed/6oRDvUVyc9E","youtube","generalitat",""
"500","https://www.youtube.com/embed/Ab7JwyRBQXg","youtube","generalitat",""
"6","https://www.youtube.com/embed/I2mW6491PqM","youtube","generalitat",""
"7","https://www.youtube.com/embed/t7g4Z3wH8EE","youtube","generalitat",""
"8","https://www.youtube.com/embed/svZHqF6ayG8","youtube","generalitat",""
"9","https://www.youtube.com/embed/zIFPGDw4H1U","youtube","generalitat",""
"a","https://www.youtube.com/embed/-hr-WLXOWRY","youtube","generalitat",""
"abril","https://www.youtube.com/embed/nUoY9WxhE1w","youtube","generalitat",""
"accident","https://www.youtube.com/embed/RAo6gTQYPiY","youtube","generalitat",""
"adeu","https://www.youtube.com/embed/p-4CdY_Za3M","youtube","generalitat",""
"aeroport","https://www.youtube.com/embed/udKaBV2fx1A","youtube","generalitat",""
"agost","https://www.youtube.com/embed/m8LGqj5hc-U","youtube","generalitat",""
"agressivitat","https://www.youtube.com/embed/EOeFImAzGtI","youtube","generalitat",""
"ahir","https://www.youtube.com/embed/tOJgDpL3QeI","youtube","generalitat",""
"aigua","https://www.youtube.com/embed/Zn4LCkuSuxY","youtube","generalitat",""
"aigua oxigenada","https://www.youtube.com/embed/CS4Fb3nE7wQ","youtube","generalitat",""
"aire condicionat","https://www.youtube.com/embed/hCw1q6f0BsA","youtube","generalitat",""
"ajudes tècniques","https://www.youtube.com/embed/8w__lwGRy34","youtube","generalitat",""
"albercoc","https://www.youtube.com/embed/RFd1-CGAqdk","youtube","generalitat",""
"alberg","https://www.youtube.com/embed/Kj8fahK2CjU","youtube","generalitat",""
"albergínia","https://www.youtube.com/embed/njJVcICwfmg","youtube","generalitat",""
"alcohol","https://www.youtube.com/embed/rYMnrC8tDrY","youtube","generalitat",""
"alcoholèmia","https://www.youtube.com/embed/7VeVcx3tQ2w","youtube","generalitat",""
"alegre","https://www.youtube.com/embed/yVnjE_yY8wk","youtube","generalitat",""
"alegria","https://www.youtube.com/embed/fWHwEXkhlcs","youtube","generalitat",""
"all","https://www.youtube.com/embed/nmm2iacUaVE","youtube","generalitat",""
"al·lèrgia","https://www.youtube.com/embed/NSQ98NmDao0","youtube","generalitat",""
"amanida","https://www.youtube.com/embed/laVeS_TNZu8","youtube","generalitat",""
"ambulància","https://www.youtube.com/embed/XXgZXBqC9EU","youtube","generalitat",""
"ambulatori","https://www.youtube.com/embed/Wnw-qh7PQt4","youtube","generalitat",""
"anàlisi clínica","https://www.youtube.com/embed/jTNkkufzQFs","youtube","generalitat",""
"ansietat","https://www.youtube.com/embed/LMg6mZpmAXE","youtube","generalitat",""
"ansió","https://www.youtube.com/embed/4ZbetWouPOc","youtube","generalitat",""
"ansiosa","https://www.youtube.com/embed/4ZbetWouPOc","youtube","generalitat",""
"antibiòtic","https://www.youtube.com/embed/WuRKfsEGR2Y","youtube","generalitat",""
"anticonceptiu","https://www.youtube.com/embed/2RKB9vdZBFs","youtube","generalitat",""
"any","https://www.youtube.com/embed/W6hdSUndIYY","youtube","generalitat",""
"aperitiu","https://www.youtube.com/embed/JRO69tqLoz4","youtube","generalitat",""
"arquitectura","https://www.youtube.com/embed/76RN3KBwZjM","youtube","generalitat",""
"arròs","https://www.youtube.com/embed/rq4dahAw6Jo","youtube","generalitat",""
"arrova","https://www.youtube.com/embed/CKqnXuDzPIo","youtube","generalitat",""
"art","https://www.youtube.com/embed/KjVphNS3594","youtube","generalitat",""
"artista","https://www.youtube.com/embed/NvUCJszwXeU","youtube","generalitat",""
"audiòfon","https://www.youtube.com/embed/OCuDlRxTpxA","youtube","generalitat",""
"autobús","https://www.youtube.com/embed/bwSTtMlAmAg","youtube","generalitat",""
"autocar","https://www.youtube.com/embed/gWa1MHRNk8M","youtube","generalitat",""
"autopista (1)","https://www.youtube.com/embed/Ygik5xGmnnU","youtube","generalitat",""
"autopista (2)","https://www.youtube.com/embed/5aY_-oWZAak","youtube","generalitat",""
"autovia","https://www.youtube.com/embed/gDl4kB3BU8E","youtube","generalitat",""
"avió","https://www.youtube.com/embed/Qia5nkEEixU","youtube","generalitat",""
"avorrida","https://www.youtube.com/embed/RF6yzo-w0-4","youtube","generalitat",""
"avorriment (1)","https://www.youtube.com/embed/YAVfdli7AWk","youtube","generalitat",""
"avorriment (2)","https://www.youtube.com/embed/3t_14QSrXAU","youtube","generalitat",""
"avorrit","https://www.youtube.com/embed/RF6yzo-w0-4","youtube","generalitat",""
"avui","https://www.youtube.com/embed/J4D3eZ31dJQ","youtube","generalitat",""
"b","https://www.youtube.com/embed/1N4gQuadIhg","youtube","generalitat",""
"bacallà","https://www.youtube.com/embed/pe2lLSUdyug","youtube","generalitat",""
"bacteri","https://www.youtube.com/embed/gctRdm3rcO8","youtube","generalitat",""
"barbeta","https://www.youtube.com/embed/fWNgF0Mm7js","youtube","generalitat",""
"bàscula","https://www.youtube.com/embed/WRxSsMNCJEg","youtube","generalitat",""
"beguda","https://www.youtube.com/embed/xviFjSoYnLU","youtube","generalitat",""
"beix","https://www.youtube.com/embed/Q-1wNSIhpug","youtube","generalitat",""
"bena (1)","https://www.youtube.com/embed/aYvui-_8lr8","youtube","generalitat",""
"bena (2)","https://www.youtube.com/embed/nCADUJdrIIA","youtube","generalitat",""
"berenar","https://www.youtube.com/embed/GsTQ7v14Bfc","youtube","generalitat",""
"bicicleta","https://www.youtube.com/embed/cnscX99mYqw","youtube","generalitat",""
"blanc","https://www.youtube.com/embed/I4oTqSzWZvQ","youtube","generalitat",""
"blat de moro","https://www.youtube.com/embed/SHDhXZ2me8o","youtube","generalitat",""
"blau","https://www.youtube.com/embed/3jJ850uMP1U","youtube","generalitat",""
"bleda","https://www.youtube.com/embed/Vr0nGecIeYI","youtube","generalitat",""
